rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
19,top-100-stars,javascript-algorithms,195003,31067,JavaScript,https://github.com/trekhleb/javascript-algorithms,trekhleb,138,2025-11-23T04:20:03Z,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings
20,top-100-stars,tensorflow,192718,75035,C++,https://github.com/tensorflow/tensorflow,tensorflow,859,2025-12-09T03:17:38Z,An Open Source Machine Learning Framework for Everyone
21,top-100-stars,You-Dont-Know-JS,184014,33680,,https://github.com/getify/You-Dont-Know-JS,getify,1,2025-05-20T14:22:36Z,A book series (2 published editions) on the JS language.
22,top-100-stars,ohmyzsh,183222,26291,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,153,2025-12-08T15:57:50Z,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community."
23,top-100-stars,CS-Notes,183077,51253,,https://github.com/CyC2018/CS-Notes,CyC2018,126,2024-08-21T09:40:10Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
24,top-100-stars,AutoGPT,180180,46183,Python,https://github.com/Significant-Gravitas/AutoGPT,Significant-Gravitas,212,2025-12-09T02:18:45Z,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
25,top-100-stars,vscode,179425,36700,TypeScript,https://github.com/microsoft/vscode,microsoft,13832,2025-12-09T03:00:35Z,Visual Studio Code
26,top-100-stars,Python-100-Days,176056,55072,Jupyter Notebook,https://github.com/jackfrued/Python-100-Days,jackfrued,580,2025-12-07T04:40:31Z,Python - 100天从新手到大师
27,top-100-stars,flutter,174205,29656,Dart,https://github.com/flutter/flutter,flutter,12136,2025-12-09T01:30:22Z,Flutter makes it easy and fast to build beautiful apps for mobile and beyond
28,top-100-stars,bootstrap,173784,79166,MDX,https://github.com/twbs/bootstrap,twbs,421,2025-12-03T17:18:07Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
29,top-100-stars,gitignore,171163,82975,,https://github.com/github/gitignore,github,0,2025-11-17T18:23:13Z,A collection of useful .gitignore templates
30,top-100-stars,n8n,161419,51690,TypeScript,https://github.com/n8n-io/n8n,n8n-io,647,2025-12-09T01:40:28Z,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations."
31,top-100-stars,awesome-go,159484,12811,Go,https://github.com/avelino/awesome-go,avelino,10,2025-12-09T03:09:08Z,"A curated list of awesome Go frameworks, libraries and software"
32,top-100-stars,the-art-of-command-line,159105,14765,,https://github.com/jlevy/the-art-of-command-line,jlevy,122,2024-06-25T18:13:44Z,"Master the command line, in one page"
33,top-100-stars,Microsoft-Activation-Scripts,158853,15313,Batchfile,https://github.com/massgravel/Microsoft-Activation-Scripts,massgravel,3,2025-11-23T21:27:07Z,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, and Online KMS activation methods, along with advanced troubleshooting."
34,top-100-stars,stable-diffusion-webui,158834,29495,Python,https://github.com/AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,2377,2025-11-07T10:31:31Z,Stable Diffusion web UI
35,top-100-stars,ollama,157307,13868,Go,https://github.com/ollama/ollama,ollama,1933,2025-12-09T02:18:06Z,"Get up and running with OpenAI gpt-oss, DeepSeek-R1, Gemma 3 and other models."
36,top-100-stars,transformers,153620,31351,Python,https://github.com/huggingface/transformers,huggingface,1090,2025-12-08T21:17:40Z,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
37,top-100-stars,JavaGuide,152951,46072,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,74,2025-12-08T09:42:43Z,"Java 学习&面试指南（Go、Python 后端面试通用,计算机基础面试总结）。准备后端技术面试，首选 JavaGuide！"
